"","growth","displacement","cost","score"
"26",0.02,40,2,1544.42078363961
"56",0.02,45,3,1592.74724415688
"54",0.035,40,3,1595.59430340718
"27",0.025,40,2,1596.47774826464
"55",0.04,40,3,1607.84388885018
"28",0.03,40,2,1641.24778297096
"57",0.025,45,3,1652.78305081044
"58",0.03,45,3,1675.91083831515
"31",0.02,45,2,1678.69778923557
"61",0.02,50,3,1680.89531295609
"29",0.035,40,2,1682.468495009
"85",0.04,45,4,1685.48308707522
"87",0.025,50,4,1701.89245009837
"59",0.035,45,3,1702.07462222482
"30",0.04,40,2,1712.39303727955
"60",0.04,45,3,1729.68519587705
"88",0.03,50,4,1742.49130557866
"91",0.02,55,4,1745.04306893018
"32",0.025,45,2,1745.15435765057
"117",0.025,55,5,1750.69595278554
"89",0.035,50,4,1761.84728477057
"62",0.025,50,3,1762.90523647891
"118",0.03,55,5,1769.84292817386
"145",0.04,55,6,1772.88877849305
"121",0.02,60,5,1773.54862839385
"144",0.035,55,6,1774.84151527816
"90",0.04,50,4,1776.4126242621
"147",0.025,60,6,1777.39994482844
"92",0.025,55,4,1793.70766306403
"119",0.035,55,5,1794.22467614936
"174",0.035,60,7,1798.62474339327
"173",0.03,60,7,1803.75932787504
"33",0.03,45,2,1808.0128790902
"175",0.04,60,7,1809.43337981427
"148",0.03,60,6,1814.83177158338
"120",0.04,55,5,1820.78557774319
"63",0.03,50,3,1822.55358295208
"66",0.02,55,3,1825.38792956205
"122",0.025,60,5,1825.90701125363
"36",0.02,50,2,1827.86160206605
"96",0.02,60,4,1840.94423342412
"93",0.03,55,4,1850.90936428609
"149",0.035,60,6,1851.85441665285
"34",0.035,45,2,1852.87913417926
"64",0.035,50,3,1865.4091519509
"150",0.04,60,6,1865.70317448453
"123",0.03,60,5,1882.0096788151
"35",0.04,45,2,1884.73201387363
"94",0.035,55,4,1892.17324043913
"65",0.04,50,3,1895.9546543227
"1",0.02,40,1,1904.17891926744
"67",0.025,55,3,1915.38585372315
"95",0.04,55,4,1921.65680617583
"37",0.025,50,2,1922.1100399421
"124",0.035,60,5,1922.48137311893
"97",0.025,60,4,1927.28471320013
"125",0.04,60,5,1951.40180467672
"71",0.02,60,3,1954.21918023327
"68",0.03,55,3,1964.86326970733
"38",0.03,50,2,1987.18833896139
"98",0.03,60,4,1987.92711976785
"41",0.02,55,2,1990.22630455401
"69",0.035,55,3,1994.87927928286
"2",0.025,40,1,2005.15495748476
"70",0.04,55,3,2025.48751639996
"99",0.035,60,4,2030.72352253862
"72",0.025,60,3,2031.30023808236
"39",0.035,50,2,2032.67985843194
"100",0.04,60,4,2047.09306159832
"40",0.04,50,2,2064.58445896167
"3",0.03,40,1,2073.30571333447
"42",0.025,55,2,2084.68413978602
"73",0.03,60,3,2093.40485433664
"6",0.02,45,1,2116.13947320373
"4",0.035,40,1,2120.34168764646
"74",0.035,60,3,2136.72966388133
"46",0.02,60,2,2137.78588228872
"43",0.03,55,2,2148.69913999883
"5",0.04,40,1,2153.07408895724
"75",0.04,60,3,2167.08107422716
"44",0.035,55,2,2192.99327134443
"7",0.025,45,1,2212.11032776684
"45",0.04,55,2,2223.86850492732
"47",0.025,60,2,2229.69721264563
"8",0.03,45,1,2276.13097048287
"48",0.03,60,2,2291.35469058624
"11",0.02,50,1,2295.7138096366
"9",0.035,45,1,2320.02979485665
"49",0.035,60,2,2333.77451200654
"10",0.04,45,1,2350.45832749182
"50",0.04,60,2,2363.24029937696
"12",0.025,50,1,2385.49524288241
"13",0.03,50,1,2445.03382190172
"16",0.02,55,1,2447.77307448625
"14",0.035,50,1,2485.7212095457
"15",0.04,50,1,2513.86462473381
"17",0.025,55,1,2531.44461930295
"21",0.02,60,1,2577.38488120517
"18",0.03,55,1,2586.74251086463
"19",0.035,55,1,2624.45667386901
"20",0.04,55,1,2650.51093258635
"22",0.025,60,1,2655.40936309978
"23",0.03,60,1,2706.86421110854
"24",0.035,60,1,2741.91254859922
"25",0.04,60,1,2766.10558418243
"51",0.02,40,3,Inf
"52",0.025,40,3,Inf
"53",0.03,40,3,Inf
"76",0.02,40,4,Inf
"77",0.025,40,4,Inf
"78",0.03,40,4,Inf
"79",0.035,40,4,Inf
"80",0.04,40,4,Inf
"81",0.02,45,4,Inf
"82",0.025,45,4,Inf
"83",0.03,45,4,Inf
"84",0.035,45,4,Inf
"86",0.02,50,4,Inf
"101",0.02,40,5,Inf
"102",0.025,40,5,Inf
"103",0.03,40,5,Inf
"104",0.035,40,5,Inf
"105",0.04,40,5,Inf
"106",0.02,45,5,Inf
"107",0.025,45,5,Inf
"108",0.03,45,5,Inf
"109",0.035,45,5,Inf
"110",0.04,45,5,Inf
"111",0.02,50,5,Inf
"112",0.025,50,5,Inf
"113",0.03,50,5,Inf
"114",0.035,50,5,Inf
"115",0.04,50,5,Inf
"116",0.02,55,5,Inf
"126",0.02,40,6,Inf
"127",0.025,40,6,Inf
"128",0.03,40,6,Inf
"129",0.035,40,6,Inf
"130",0.04,40,6,Inf
"131",0.02,45,6,Inf
"132",0.025,45,6,Inf
"133",0.03,45,6,Inf
"134",0.035,45,6,Inf
"135",0.04,45,6,Inf
"136",0.02,50,6,Inf
"137",0.025,50,6,Inf
"138",0.03,50,6,Inf
"139",0.035,50,6,Inf
"140",0.04,50,6,Inf
"141",0.02,55,6,Inf
"142",0.025,55,6,Inf
"143",0.03,55,6,Inf
"146",0.02,60,6,Inf
"151",0.02,40,7,Inf
"152",0.025,40,7,Inf
"153",0.03,40,7,Inf
"154",0.035,40,7,Inf
"155",0.04,40,7,Inf
"156",0.02,45,7,Inf
"157",0.025,45,7,Inf
"158",0.03,45,7,Inf
"159",0.035,45,7,Inf
"160",0.04,45,7,Inf
"161",0.02,50,7,Inf
"162",0.025,50,7,Inf
"163",0.03,50,7,Inf
"164",0.035,50,7,Inf
"165",0.04,50,7,Inf
"166",0.02,55,7,Inf
"167",0.025,55,7,Inf
"168",0.03,55,7,Inf
"169",0.035,55,7,Inf
"170",0.04,55,7,Inf
"171",0.02,60,7,Inf
"172",0.025,60,7,Inf
"176",0.02,40,8,Inf
"177",0.025,40,8,Inf
"178",0.03,40,8,Inf
"179",0.035,40,8,Inf
"180",0.04,40,8,Inf
"181",0.02,45,8,Inf
"182",0.025,45,8,Inf
"183",0.03,45,8,Inf
"184",0.035,45,8,Inf
"185",0.04,45,8,Inf
"186",0.02,50,8,Inf
"187",0.025,50,8,Inf
"188",0.03,50,8,Inf
"189",0.035,50,8,Inf
"190",0.04,50,8,Inf
"191",0.02,55,8,Inf
"192",0.025,55,8,Inf
"193",0.03,55,8,Inf
"194",0.035,55,8,Inf
"195",0.04,55,8,Inf
"196",0.02,60,8,Inf
"197",0.025,60,8,Inf
"198",0.03,60,8,Inf
"199",0.035,60,8,Inf
"200",0.04,60,8,Inf
"201",0.02,40,9,Inf
"202",0.025,40,9,Inf
"203",0.03,40,9,Inf
"204",0.035,40,9,Inf
"205",0.04,40,9,Inf
"206",0.02,45,9,Inf
"207",0.025,45,9,Inf
"208",0.03,45,9,Inf
"209",0.035,45,9,Inf
"210",0.04,45,9,Inf
"211",0.02,50,9,Inf
"212",0.025,50,9,Inf
"213",0.03,50,9,Inf
"214",0.035,50,9,Inf
"215",0.04,50,9,Inf
"216",0.02,55,9,Inf
"217",0.025,55,9,Inf
"218",0.03,55,9,Inf
"219",0.035,55,9,Inf
"220",0.04,55,9,Inf
"221",0.02,60,9,Inf
"222",0.025,60,9,Inf
"223",0.03,60,9,Inf
"224",0.035,60,9,Inf
"225",0.04,60,9,Inf
"226",0.02,40,10,Inf
"227",0.025,40,10,Inf
"228",0.03,40,10,Inf
"229",0.035,40,10,Inf
"230",0.04,40,10,Inf
"231",0.02,45,10,Inf
"232",0.025,45,10,Inf
"233",0.03,45,10,Inf
"234",0.035,45,10,Inf
"235",0.04,45,10,Inf
"236",0.02,50,10,Inf
"237",0.025,50,10,Inf
"238",0.03,50,10,Inf
"239",0.035,50,10,Inf
"240",0.04,50,10,Inf
"241",0.02,55,10,Inf
"242",0.025,55,10,Inf
"243",0.03,55,10,Inf
"244",0.035,55,10,Inf
"245",0.04,55,10,Inf
"246",0.02,60,10,Inf
"247",0.025,60,10,Inf
"248",0.03,60,10,Inf
"249",0.035,60,10,Inf
"250",0.04,60,10,Inf
