,r,eK,model,score
11,0.025,0.2,forest,1419.9526448137324
1,0.02,0.2,forest,1450.1454167529992
5,0.02,0.3,forest,1475.5835675639876
3,0.02,0.25,forest,1497.2069852751679
7,0.02,0.35,forest,1525.0163844932856
13,0.025,0.25,forest,1527.9810385126034
21,0.030000000000000002,0.2,forest,1568.2439309708893
15,0.025,0.3,forest,1588.7204098080128
23,0.030000000000000002,0.25,forest,1617.197642904607
31,0.035,0.2,forest,1628.8137285037114
9,0.02,0.39999999999999997,forest,1639.0621411962093
0,0.02,0.2,null,1649.1600974517385
17,0.025,0.35,forest,1654.4783124859891
25,0.030000000000000002,0.3,forest,1678.8527614399645
33,0.035,0.25,forest,1686.5015284325732
41,0.04000000000000001,0.2,forest,1688.1903312703205
19,0.025,0.39999999999999997,forest,1715.1372492555176
27,0.030000000000000002,0.35,forest,1723.1870535788103
35,0.035,0.3,forest,1734.072725180872
43,0.04000000000000001,0.25,forest,1739.5091261617456
29,0.030000000000000002,0.39999999999999997,forest,1782.9602169244088
39,0.035,0.39999999999999997,forest,1803.4306196801695
37,0.035,0.35,forest,1803.667315162024
49,0.04000000000000001,0.39999999999999997,forest,1807.0130198905745
45,0.04000000000000001,0.3,forest,1807.3670112939192
47,0.04000000000000001,0.35,forest,1832.8809400887283
2,0.02,0.25,null,1868.9936878987594
10,0.025,0.2,null,1955.400380650635
4,0.02,0.3,null,2073.6661228821745
12,0.025,0.25,null,2186.6262054046097
20,0.030000000000000002,0.2,null,2237.747866385647
6,0.02,0.35,null,2265.1643577382124
14,0.025,0.3,null,2394.3431305949084
8,0.02,0.39999999999999997,null,2438.449740128989
30,0.035,0.2,null,2445.808405569978
22,0.030000000000000002,0.25,null,2448.077204664918
16,0.025,0.35,null,2571.178476254956
24,0.030000000000000002,0.3,null,2625.6178886687408
40,0.04000000000000001,0.2,null,2631.7452024865192
32,0.035,0.25,null,2650.6256986973085
18,0.025,0.39999999999999997,null,2717.24087006396
26,0.030000000000000002,0.35,null,2786.807793098705
42,0.04000000000000001,0.25,null,2807.0105960766314
34,0.035,0.3,null,2820.6909446810023
28,0.030000000000000002,0.39999999999999997,null,2926.4583059077086
36,0.035,0.35,null,2956.9977195651527
44,0.04000000000000001,0.3,null,2960.056902301857
38,0.035,0.39999999999999997,null,3013.2383316364544
46,0.04000000000000001,0.35,null,3035.259924752872
48,0.04000000000000001,0.39999999999999997,null,3057.369669715669
